district_id,district_name,centroid_lat,centroid_lon,macro_zone
0,Адмиралтейский,59.917,30.3,Центр
1,Василеостровский,59.94,30.265,Центр
2,Выборгский,60.05,30.31,Север
3,Калининский,60.02,30.42,Север
4,Кировский,59.88,30.27,Юг
5,Колпинский,59.74,30.59,Пригород
6,Красногвардейский,59.95,30.46,Северо-восток
7,Красносельский,59.84,30.13,Юго-запад
8,Кронштадтский,60.0,29.77,Пригород
9,Курортный,60.18,29.96,Пригород
10,Московский,59.86,30.32,Юг
11,Невский,59.88,30.45,Восток
12,Петроградский,59.96,30.3,Центр
13,Петродворцовый,59.88,29.91,Пригород
14,Приморский,60.0,30.27,Север
15,Пушкинский,59.72,30.4,Пригород
16,Фрунзенский,59.87,30.38,Юг
17,Центральный,59.93,30.36,Центр
