district_name,pre_covid_median,post_covid_median,change_pct
Адмиралтейский,139198.0,200073.0,43.7
Василеостровский,148971.5,183871.0,23.4
Выборгский,113552.0,145299.0,28.0
Калининский,100397.0,133866.0,33.3
Кировский,109385.0,141026.0,28.9
Колпинский,84444.0,112532.5,33.3
Красногвардейский,109249.5,139741.0,27.9
Красносельский,104413.0,135048.0,29.3
Кронштадтский,114851.0,141745.0,23.4
Курортный,107812.0,159175.5,47.6
Московский,116776.0,157895.0,35.2
Невский,113900.0,156500.0,37.4
Петроградский,148511.0,185950.0,25.2
Петродворцовый,95990.0,134091.0,39.7
Приморский,116123.0,165116.0,42.2
Пушкинский,94000.0,121540.5,29.3
Фрунзенский,116118.5,145759.0,25.5
Центральный,143086.5,250431.5,75.0
